Clean_Reviews,Uncleaned_Reviews,sentiment,Subjectivity,Polarity
like phone sonud low,I like this phone but sonud  is very low,pos,0.3,0.0
around budget phone good value moneybut expect compare real one plus like without nord performance mark took december till got updatesperformance quite increasedgood go,Around this budget Phone is good and value for moneyBut if expect and compare to real One plus like without Nord performance is not up to the mark..I took December 2021Till I got 5-6 updatesPerformance quite increasedGood to go!,pos,0.45000000000000007,0.44999999999999996
fine one year camera quality good,All are fine but after one year camera quality is not good.,pos,0.55,0.5583333333333333
better quoted price hang somewhat much use,Better for the quoted price but hangs somewhat after much use.,pos,0.35,0.35
could petter perfomance video calling n network issue,Could have been more petter in perfomance video calling n network issues are there,pos,0.0,0.0
rate model,I can rate 9/10 for this model,pos,0.0,0.0
phone good battery support weak hanging problem photo quality good fast charging additional ram u extend value money brand also good,Phone is good but battery support is weak no hanging problem photo quality is good fast charging additional RAM u can extend value for money and brand also good 1+,pos,0.6050000000000001,0.38499999999999995
good quality,Good quality,pos,0.6000000000000001,0.7
superb,Superb,pos,1.0,1.0
really working good fast compare mobile range,Really working good and fast compare to other mobiles which is in same range...,pos,0.4666666666666666,0.36666666666666664
